"AREFNO","Casualty.Class","Casualty.Sex","Casualty.Age","No..of.Casualties","Mode.of.Travel","Accident.Severity","No..of.Vehicles.in.Acc.","Accident.Date","Time","Highway","Road.Type","Speed.Limit","Junction.Detail","Weather","Road.Surface","month","day","hour","Light.Conditions.Banded","ageband"
1190170199,"Pedestrian","Male",83,1,"Pedestrian","Serious",1,"2019-03-20","10:2900","TLRN","Single CWY",30,"Other","Fine","Road-Dry","March","Wednesday",10,"Daylight","80-89"
1190177281,"Driver/Rider","Female",26,1,"Car","Slight",2,"2019-04-10","22:3000","TLRN","Roundabout",30,"Roundabout","Fine","Road-Dry","April","Wednesday",22,"Dark","20-29"
1190220454,"Driver/Rider","Female",55,1,"Car","Slight",2,"2019-10-08","18:3000","BOR","Unknown",5,"No JUN in 20M","Other","Road-Dry","October","Tuesday",18,"Daylight","50-59"
1190211794,"Pedestrian","Female",25,1,"Pedestrian","Serious",1,"2019-10-15","10:2300","TLRN","Single CWY",30,"T/STAG JUN","Fine","Road-Wet","October","Tuesday",10,"Daylight","20-29"
1190187884,"Passenger","Female",30,2,"Car","Slight",2,"2019-06-17","21:4000","TLRN","Dual CWY",40,"Crossroads","Fine","Road-Dry","June","Monday",21,"Dark","30-39"
1190164845,"Driver/Rider","Male",33,1,"Powered 2 Wheeler","Serious",2,"2019-02-21","19:0000","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","February","Thursday",19,"Dark","30-39"
1190156849,"Pedestrian","Male",41,1,"Pedestrian","Serious",1,"2019-01-10","19:1300","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Wet","January","Thursday",19,"Dark","40-49"
1190212388,"Driver/Rider","Male",20,2,"Car","Slight",4,"2019-10-17","15:0800","BOR","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","October","Thursday",15,"Daylight","20-29"
1190182095,"Pedestrian","Female",63,2,"Pedestrian","Slight",1,"2019-05-20","18:1000","BOR","Single CWY",30,"Other","Fine","Road-Dry","May","Monday",18,"Daylight","60-69"
1190221914,"Pedestrian","Male",48,2,"Pedestrian","Serious",1,"2019-11-30","17:3100","TLRN","Single CWY",30,"No JUN in 20M","Other","Road-Wet","November","Saturday",17,"Dark","40-49"
1190198014,"Driver/Rider","Male",43,2,"Pedal Cycle","Serious",3,"2019-08-05","22:0300","BOR","Single CWY",20,"No JUN in 20M","Fine","Road-Dry","August","Monday",22,"Dark","40-49"
1190219605,"Driver/Rider","Male",55,4,"Car","Slight",2,"2019-11-20","12:1800","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","November","Wednesday",12,"Daylight","50-59"
1190166597,"Driver/Rider","Male",34,1,"Powered 2 Wheeler","Serious",2,"2019-03-03","15:0200","TLRN","Dual CWY",30,"Crossroads","Raining","Road-Wet","March","Sunday",15,"Daylight","30-39"
1190170331,"Driver/Rider","Male",49,1,"Other Vehicle","Slight",1,"2019-03-21","03:5500","TLRN","Single CWY",20,"T/STAG JUN","Fine","Road-Dry","March","Thursday",3,"Dark","40-49"
1190157380,"Driver/Rider","Male",54,1,"Car","Serious",3,"2019-01-14","07:1800","BOR","Single CWY",30,"Other","Fine","Road-Dry","January","Monday",7,"Daylight","50-59"
1190175933,"Pedestrian","Male",52,1,"Pedestrian","Serious",1,"2019-04-19","00:3000","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","April","Friday",0,"Dark","50-59"
1190212459,"Passenger","Male",43,2,"Car","Slight",3,"2019-10-18","05:2200","TLRN","Dual CWY",50,"No JUN in 20M","Fine","Road-Wet","October","Friday",5,"Dark","40-49"
1190218289,"Driver/Rider","Male",32,1,"Powered 2 Wheeler","Slight",2,"2019-11-12","22:1800","BOR","Unknown",20,"Other","Fine","Road-Dry","November","Tuesday",22,"Dark","30-39"
1190176193,"Driver/Rider","Male",25,1,"Powered 2 Wheeler","Serious",2,"2019-04-20","20:2100","BOR","Single CWY",30,"No JUN in 20M","Fine","Road-Dry","April","Saturday",20,"Daylight","20-29"
1190203627,"Driver/Rider","Male",50,1,"Powered 2 Wheeler","Slight",2,"2019-09-04","16:4500","TLRN","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","September","Wednesday",16,"Daylight","50-59"
1190158825,"Driver/Rider","Female",24,1,"Car","Slight",3,"2019-01-22","09:0000","BOR","One-way ST",30,"Other","Fine","Road-Wet","January","Tuesday",9,"Daylight","20-29"
1190225400,"Pedestrian","Male",83,1,"Pedestrian","Slight",1,"2019-12-16","16:5000","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Wet","December","Monday",16,"Dark","80-89"
1190206368,"Driver/Rider","Male",82,1,"Car","Slight",1,"2019-09-09","15:3000","BOR","One-way ST",30,"Other","Fine","Road-Dry","September","Monday",15,"Daylight","80-89"
1190223541,"Passenger","Male",25,1,"Powered 2 Wheeler","Slight",2,"2019-12-08","02:4900","BOR","Single CWY",20,"T/STAG JUN","Raining","Road-Wet","December","Sunday",2,"Dark","20-29"
1190190827,"Pedestrian","Male",66,1,"Pedestrian","Serious",2,"2019-07-01","16:0000","BOR","Single CWY",30,"Crossroads","Fine","Road-Dry","July","Monday",16,"Daylight","60-69"
1190213588,"Driver/Rider","Male",41,1,"Other Vehicle","Slight",2,"2019-10-23","16:2000","BOR","Single CWY",30,"Crossroads","Fine","Road-Dry","October","Wednesday",16,"Daylight","40-49"
1190204198,"Driver/Rider","Male",34,1,"Pedal Cycle","Slight",2,"2019-09-09","08:2500","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","September","Monday",8,"Daylight","30-39"
1190169066,"Driver/Rider","Male",24,1,"Powered 2 Wheeler","Slight",2,"2019-03-14","13:1500","TLRN","Single CWY",30,"T/STAG JUN","Other","Road-Wet","March","Thursday",13,"Daylight","20-29"
1190211804,"Passenger","Female",39,3,"Bus or Coach","Slight",2,"2019-10-15","13:2500","TLRN","Dual CWY",30,"Crossroads","Fine","Road-Dry","October","Tuesday",13,"Daylight","30-39"
1190194982,"Driver/Rider","Male",56,1,"Pedal Cycle","Slight",2,"2019-07-21","17:1500","TLRN","Dual CWY",30,"No JUN in 20M","Fine","Road-Dry","July","Sunday",17,"Daylight","50-59"
1190217300,"Driver/Rider","Male",13,1,"Pedal Cycle","Slight",2,"2019-11-09","12:3500","BOR","Single CWY",30,"T/STAG JUN","Fine","Road-Dry","November","Saturday",12,"Daylight","10-19"
1190177259,"Driver/Rider","Male",63,1,"Car","Slight",2,"2019-04-26","14:2000","BOR","Single CWY",30,"Other","Fine","Road-Dry","April","Friday",14,"Daylight","60-69"
1190199558,"Driver/Rider","Male",25,1,"Powered 2 Wheeler","Slight",2,"2019-08-15","04:1400","BOR","Dual CWY",30,"Other","Raining","Road-Wet","August","Thursday",4,"Daylight","20-29"
1190156120,"Pedestrian","Male",25,1,"Pedestrian","Slight",1,"2019-01-07","12:3500","BOR","One-way ST",20,"T/STAG JUN","Fine","Road-Dry","January","Monday",12,"Daylight","20-29"
1190205425,"Driver/Rider","Male",52,1,"Pedal Cycle","Serious",2,"2019-09-14","22:0000","TLRN","One-way ST",30,"No JUN in 20M","Fine","Road-Dry","September","Saturday",22,"Dark","50-59"
1190213029,"Pedestrian","Female",52,1,"Pedestrian","Slight",1,"2019-10-21","08:0500","BOR","Roundabout",30,"Other","Fine","Road-Wet","October","Monday",8,"Daylight","50-59"
